Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP
Brook Lopez,MIL,34,C,65,65,37.2,3.4,8.4,40.0,37.2,2.8,30.4,0.5,1.2
Kevin Porter Jr.,HOU,22,G-F,44,44,52.7,3.0,8.0,37.1,38.1,-0.9,33.5,1.2,0.2
Julius Randle,NYK,28,F-C,68,68,49.6,2.7,7.2,37.6,37.2,0.3,36.0,0.7,0.1
Al Horford,BOS,36,C-F,52,52,44.1,2.7,7.1,37.8,37.7,0.1,31.0,0.5,0.6
Kevin Durant,PHX,34,F,42,42,45.8,2.6,7.1,36.7,36.3,0.4,35.7,0.8,0.8
Draymond Green,GSW,33,F,59,59,46.5,2.4,7.0,34.6,36.7,-2.1,31.3,1.0,0.5
RJ Barrett,NYK,22,F-G,60,60,49.9,2.5,6.9,35.3,37.8,-2.5,34.2,0.5,0.0
Isaiah Stewart,DET,21,F-C,50,50,47.1,2.9,6.9,41.9,36.9,5.1,28.3,0.4,0.3
Kristaps Porzingis,WAS,27,F-C,57,57,38.5,2.4,6.8,34.6,36.8,-2.2,32.9,0.8,0.9
Joel Embiid,PHI,28,C-F,53,53,35.6,2.5,6.8,36.7,37.5,-0.7,35.0,1.1,0.6
Cade Cunningham,DET,21,G,12,12,43.5,1.8,6.8,25.9,37.6,-11.7,33.3,0.8,0.2
Zach LaVine,CHI,28,G,62,62,52.1,2.4,6.7,35.4,37.7,-2.3,35.9,1.0,0.0
Jrue Holiday,MIL,32,G,54,54,48.5,2.4,6.7,35.7,38.0,-2.2,32.9,1.2,0.3
Shai Gilgeous-Alexander,OKC,24,G,56,56,45.7,2.3,6.7,34.6,36.7,-2.1,35.6,1.7,0.6
Evan Mobley,CLE,21,C,67,67,38.7,2.5,6.7,37.4,36.7,0.7,34.2,0.8,0.5
Nikola Jokic,DEN,28,C,59,59,32.5,2.6,6.6,38.5,36.9,1.6,33.7,1.2,0.5
Bogdan Bogdanovic,ATL,30,G,42,42,48.7,2.5,6.6,37.3,37.0,0.3,28.9,0.9,0.3
De'Aaron Fox,SAC,25,G,58,58,49.3,2.5,6.6,37.4,37.6,-0.2,34.1,1.2,0.3
Jabari Smith Jr.,HOU,19,F,63,63,47.2,2.6,6.6,39.9,37.3,2.6,30.2,0.5,0.4
Luguentz Dort,OKC,23,G,59,59,53.0,2.3,6.5,35.3,37.8,-2.4,30.1,1.0,0.1
Jalen Brunson,NYK,26,G,62,62,51.3,2.5,6.5,37.8,37.8,0.0,34.9,0.9,0.1
Ivica Zubac,LAC,25,C,62,62,37.3,2.6,6.5,39.6,36.5,3.1,29.1,0.4,0.6
Karl-Anthony Towns,MIN,27,C-F,21,21,47.6,2.4,6.5,37.5,36.6,0.9,33.8,0.8,0.3
Rudy Gobert,MIN,30,C,56,55,35.9,2.5,6.5,38.4,37.6,0.8,30.3,0.8,0.5
Fred VanVleet,TOR,29,G,56,56,42.4,2.5,6.5,38.7,37.3,1.4,37.0,1.6,0.4
Zion Williamson,NOP,22,F,28,28,52.0,2.2,6.4,34.3,36.9,-2.7,33.0,1.1,0.3
Anthony Davis,LAL,29,F-C,42,42,35.7,2.1,6.3,33.0,38.0,-5.1,33.4,1.0,1.1
Jaden McDaniels,MIN,22,F,65,65,47.3,2.4,6.3,38.5,37.3,1.2,30.6,1.0,0.6
Andrew Wiggins,GSW,28,F,37,37,46.6,2.6,6.2,41.1,36.9,4.2,32.2,1.2,0.5
LaMelo Ball,CHA,21,G,36,36,47.5,2.4,6.2,37.9,37.3,0.7,35.2,1.3,0.1
CJ McCollum,NOP,31,G,58,58,46.2,2.2,6.2,35.3,37.9,-2.6,35.1,0.9,0.3
Jarrett Allen,CLE,24,C,62,62,38.0,2.3,6.2,37.7,37.7,0.0,33.0,0.8,0.3
Victor Oladipo,MIA,30,G,35,35,52.4,2.3,6.2,36.4,37.7,-1.3,27.4,1.4,0.1
Paul George,LAC,32,F,51,51,45.3,2.3,6.2,37.3,36.7,0.7,34.4,1.4,0.2
Harrison Barnes,SAC,30,F,65,64,45.9,2.3,6.2,36.8,36.8,0.1,32.9,0.7,0.0
Max Strus,MIA,26,G-F,66,65,52.8,2.4,6.1,39.3,37.1,2.2,29.3,0.6,0.1
Deandre Ayton,PHX,24,C,57,56,41.3,2.4,6.1,38.6,37.7,0.9,30.3,0.6,0.4
Pascal Siakam,TOR,28,F,58,58,42.4,2.2,6.1,35.3,36.6,-1.3,37.5,0.9,0.2
Nikola Vucevic,CHI,32,C,66,66,35.3,2.4,6.1,39.2,37.7,1.4,33.8,0.7,0.3
James Harden,PHI,33,G,49,49,47.5,2.3,6.1,37.2,37.0,0.3,36.8,1.2,0.4
Dillon Brooks,MEM,27,G-F,59,59,47.9,2.1,6.0,35.0,37.6,-2.5,30.3,0.8,0.1
Austin Reaves,LAL,24,G,49,49,46.9,2.0,6.0,32.8,37.7,-4.9,27.6,0.6,0.2
De'Andre Hunter,ATL,25,F-G,57,56,47.9,2.1,6.0,34.6,37.0,-2.4,31.8,0.5,0.2
Anthony Edwards,MIN,21,G,68,68,47.0,2.2,6.0,36.3,37.2,-1.0,36.3,1.7,0.3
Buddy Hield,IND,30,G,67,66,40.8,2.1,6.0,34.7,37.7,-3.0,31.9,1.2,0.1
Bradley Beal,WAS,29,G,45,45,52.3,2.0,6.0,34.3,37.4,-3.1,33.6,0.9,0.4
Terry Rozier,CHA,28,G,56,56,46.4,2.5,6.0,41.9,37.9,4.0,35.7,1.1,0.1
Devin Booker,PHX,26,G,39,39,48.1,2.1,6.0,34.9,37.1,-2.2,34.1,0.8,0.2
Luka Doncic,DAL,24,F-G,56,56,41.0,2.0,5.9,34.6,36.2,-1.6,36.3,1.5,0.3
Caleb Martin,MIA,27,F,58,58,45.0,2.2,5.9,37.0,37.3,-0.3,29.8,1.0,0.2
John Collins,ATL,25,F-C,57,57,42.4,2.3,5.9,38.0,37.0,1.0,30.3,0.6,0.4
Marcus Smart,BOS,29,G,50,50,53.8,2.3,5.9,39.3,37.3,2.0,32.4,1.5,0.2
Kelly Olynyk,UTA,31,F-C,55,55,37.3,2.3,5.9,38.7,36.9,1.8,28.3,0.9,0.4
Scottie Barnes,TOR,21,F,65,65,38.3,2.4,5.9,41.5,37.5,4.0,35.3,1.0,0.5
Jimmy Butler,MIA,33,F,53,53,53.7,2.1,5.8,36.5,37.5,-1.1,33.3,1.9,0.2
