Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Dahntay Jones,CLE,35,G-F,1,1,66.7,6.0,12.0,50.0,37.9,12.1,42.0,1.0,0.0,0
James Harden,HOU,26,G,82,82,56.7,2.9,7.5,38.2,37.1,1.0,38.1,1.7,0.3,0.04
Kemba Walker,CHA,26,G,81,81,61.6,2.9,7.5,38.1,37.3,0.8,35.6,1.6,0.2,0.23
Andrew Wiggins,MIN,21,G-F,81,81,58.0,2.9,7.4,38.5,36.8,1.7,35.1,1.0,0.3,0.01
Eric Bledsoe,PHX,26,G,31,30,56.3,2.5,7.3,33.8,36.5,-2.7,34.2,2.0,0.3,0.19
Brandon Knight,PHX,24,G,52,52,65.4,2.9,7.3,39.3,37.2,2.0,36.0,1.2,0.2,0.1
Draymond Green,GSW,26,F,81,81,44.5,2.5,7.3,34.5,36.5,-2.1,34.7,1.5,0.6,0.11
CJ McCollum,POR,24,G,80,80,60.5,2.8,6.9,40.0,37.2,2.8,34.8,1.2,0.1,0.01
Jarrett Jack,BKN,32,G,32,32,63.0,2.7,6.8,39.9,37.0,2.9,32.1,1.1,0.1,0.09
Damian Lillard,POR,25,G,75,75,57.9,2.7,6.8,39.5,37.6,1.9,35.7,0.9,0.3,0.17
Jrue Holiday,NOP,26,G,65,65,64.0,2.5,6.8,37.5,37.2,0.3,28.2,1.4,0.1,0.03
Victor Oladipo,ORL,24,G,71,71,57.9,2.6,6.8,38.7,36.9,1.8,33.0,1.6,0.3,0.15
Emmanuel Mudiay,DEN,20,G,68,68,60.8,2.4,6.7,36.3,37.3,-1.0,30.4,1.0,0.2,0.01
George Hill,IND,30,G,74,74,61.2,2.5,6.7,38.0,37.1,0.9,34.1,1.1,0.1,0.12
Stephen Curry,GSW,28,G,79,78,61.6,2.1,6.7,32.1,36.6,-4.4,34.2,2.1,0.1,0.09
Paul George,IND,26,F,81,81,58.8,2.1,6.6,31.6,36.8,-5.2,34.8,1.9,0.2,0.16
Jabari Parker,MIL,21,F,76,76,56.0,2.7,6.6,40.3,37.0,3.3,31.7,0.9,0.1,0
Bradley Beal,WAS,23,G,54,53,67.9,2.5,6.6,37.6,37.1,0.6,31.1,1.0,0.1,0.07
Jimmy Butler,CHI,26,G-F,67,67,52.3,2.8,6.5,41.9,37.3,4.6,36.9,1.6,0.3,0.1
Deron Williams,DAL,32,G,65,65,64.2,2.3,6.5,35.1,37.2,-2.0,32.4,0.9,0.2,0.17
Mike Conley,MEM,28,G,56,56,61.6,2.5,6.5,38.2,37.1,1.1,31.4,1.2,0.1,0.11
Khris Middleton,MIL,24,G-F,79,78,64.8,2.2,6.5,34.1,37.2,-3.1,36.1,1.7,0.1,0.06
Monta Ellis,IND,30,G,81,81,65.3,2.2,6.4,34.0,36.8,-2.8,33.8,1.9,0.2,0.19
Rudy Gay,SAC,29,F,69,68,52.9,2.3,6.4,35.0,37.5,-2.5,34.0,1.4,0.4,0.09
Kevin Durant,OKC,27,F,72,72,55.6,1.9,6.4,29.0,36.4,-7.4,35.8,1.0,0.7,0
Anthony Davis,NOP,23,F-C,61,59,43.3,2.2,6.4,34.5,38.0,-3.4,35.5,1.3,1.0,0.05
DeMarre Carroll,TOR,29,F,26,24,60.3,2.2,6.3,35.4,38.0,-2.6,30.2,1.7,0.2,0
Serge Ibaka,OKC,26,F,78,77,40.6,2.3,6.3,36.6,37.0,-0.4,32.1,0.5,0.2,0
Jordan Clarkson,LAL,24,G,79,79,57.1,2.5,6.3,39.3,37.7,1.5,32.3,1.1,0.0,0
Jae Crowder,BOS,25,F,72,72,57.3,2.2,6.2,35.0,36.7,-1.7,31.6,1.7,0.2,0.11
Rajon Rondo,SAC,30,G,71,71,61.8,2.3,6.2,36.8,37.5,-0.7,35.2,2.0,0.1,0.1
Wesley Matthews,DAL,29,G-F,78,78,61.2,2.1,6.1,34.0,37.4,-3.5,33.9,1.0,0.1,0.05
Nicolas Batum,CHA,27,G-F,70,68,61.7,2.2,6.1,35.5,36.8,-1.3,35.0,0.9,0.2,0.03
Blake Griffin,LAC,27,F,35,35,47.2,2.4,6.1,39.3,36.9,2.3,33.4,0.8,0.2,0.14
Matt Barnes,MEM,36,F,76,76,60.4,2.4,6.0,40.6,36.6,4.0,28.8,1.0,0.3,0
Duje Dukan,SAC,24,F,1,1,66.7,0.0,6.0,0.0,33.2,-33.2,24.0,1.0,0,0
Briante Weber,MIA,23,G,6,6,59.0,2.5,6.0,41.7,35.1,6.6,24.1,1.3,0.1,0.14
John Wall,WAS,25,G,77,77,57.7,2.2,6.0,36.6,37.0,-0.4,36.2,1.9,0.3,0.09
Kentavious Caldwell-Pope,DET,23,G,76,76,58.1,2.1,5.9,35.6,37.6,-2.0,36.7,1.4,0.1,0.04
Tyreke Evans,NOP,26,G-F,25,25,59.9,2.8,5.9,46.6,36.6,10.0,30.6,1.3,0.1,0.04
DeMarcus Cousins,SAC,25,C-F,64,64,35.1,2.4,5.9,40.5,37.9,2.5,34.6,1.6,0.6,0.45
Kyle Lowry,TOR,30,G,76,75,56.1,2.1,5.9,36.0,36.9,-0.9,37.0,2.1,0.2,0.06
Joe Johnson,MIA,35,F-G,81,80,61.3,2.1,5.8,37.0,36.7,0.3,33.4,0.8,0.0,0
Danilo Gallinari,DEN,27,F,53,53,60.0,2.3,5.8,40.1,37.2,2.8,34.7,0.8,0.1,0.21
Ish Smith,PHI,27,G,73,72,51.8,2.3,5.8,39.7,37.5,2.2,29.1,1.1,0.2,0.05
Reggie Jackson,DET,26,G,79,78,51.9,2.1,5.8,36.5,37.5,-0.9,30.7,0.7,0.0,0.06
P.J. Tucker,PHX,31,F,82,81,60.0,2.1,5.7,36.9,36.6,0.3,NaN,NaN,NaN,NaN
Dirk Nowitzki,DAL,38,F,75,75,42.7,2.3,5.7,39.6,37.3,2.3,31.5,0.7,0.2,0.04
Elfrid Payton,ORL,22,G,72,71,56.1,2.1,5.7,36.7,37.3,-0.6,29.4,1.2,0.2,0.03
Arron Afflalo,NYK,30,G,71,71,63.7,2.1,5.7,36.9,37.2,-0.3,33.4,0.4,0.1,0
Jeff Teague,ATL,28,G,79,79,67.7,2.0,5.7,35.0,37.0,-2.0,28.5,1.2,0.2,0.03
Ricky Rubio,MIN,25,G,76,75,58.1,2.1,5.7,36.9,36.7,0.1,30.6,2.1,0.1,0.12
Tobias Harris,DET,23,F,75,74,50.8,2.3,5.7,39.9,36.9,3.0,33.1,0.9,0.2,0
Darren Collison,SAC,28,G,73,73,66.1,2.3,5.6,40.3,37.1,3.2,30.0,1.0,0.1,0.09
Chris Paul,LAC,31,G,74,74,58.4,2.2,5.6,39.1,37.2,1.9,32.7,2.1,0.1,0.05
Giannis Antetokounmpo,MIL,21,F,80,80,45.2,2.2,5.6,39.4,37.1,2.3,35.3,1.2,0.3,0.01
Marcus Morris Sr.,DET,26,F,80,80,54.1,1.9,5.6,33.3,36.5,-3.2,NaN,NaN,NaN,NaN
Chris Bosh,MIA,32,F,53,52,45.5,2.1,5.5,38.1,37.5,0.6,33.5,0.7,0.1,0.08
Evan Fournier,ORL,23,G-F,78,78,58.9,2.3,5.5,40.7,37.3,3.4,32.5,1.2,0.0,0.04
Gary Harris,DEN,21,G,76,75,60.3,2.3,5.5,41.5,37.3,4.2,32.1,1.3,0.1,0.01
Kristaps Porzingis,NYK,20,F-C,72,70,40.5,1.9,5.5,34.3,37.5,-3.2,28.4,0.7,0.5,0.03
Paul Millsap,ATL,31,F,81,78,40.4,2.1,5.5,38.4,37.1,1.3,32.7,1.8,0.3,0.06
Meyers Leonard,POR,24,F-C,60,58,49.8,2.1,5.5,37.8,37.6,0.2,21.8,0.1,0.0,0.02
Goran Dragic,MIA,30,G,72,72,54.4,1.8,5.4,33.0,37.7,-4.7,32.8,1.0,0.1,0.11
D'Angelo Russell,LAL,20,G,79,79,53.7,2.0,5.4,36.1,36.9,-0.7,28.2,1.2,0.1,0
Kyle Korver,ATL,35,G,80,80,51.2,2.0,5.4,36.5,36.4,0.1,30.0,0.8,0.2,0.06
Courtney Lee,CHA,30,G,79,78,61.2,1.9,5.4,34.2,36.9,-2.7,29.5,1.1,0.2,0.03
Zach LaVine,MIN,21,G,82,81,63.1,2.0,5.4,37.8,37.3,0.5,28.0,0.8,0.1,0.01
LaMarcus Aldridge,SAS,30,F,74,74,42.3,2.0,5.4,37.7,36.9,0.8,30.6,0.5,0.5,0.01
Thaddeus Young,BKN,28,F,73,72,43.6,1.8,5.4,34.1,37.1,-3.0,33.0,1.5,0.1,0.19
Avery Bradley,BOS,25,G,75,75,62.8,2.0,5.4,36.5,37.7,-1.3,33.4,1.5,0.1,0.01
Devin Booker,PHX,19,G,73,71,57.1,2.3,5.4,41.8,36.9,4.9,27.7,0.6,0.1,0.03
Jeff Green,LAC,29,F,80,79,53.1,2.3,5.4,42.7,36.9,5.8,28.2,0.7,0.1,0.04
Evan Turner,BOS,27,G-F,80,80,53.6,1.8,5.3,33.1,36.9,-3.8,28.0,1.0,0.1,0
Justise Winslow,MIA,20,F,78,78,53.4,1.9,5.3,35.7,37.1,-1.4,28.6,0.9,0.0,0.04
Michael Carter-Williams,MIL,24,G,54,53,53.2,1.8,5.3,34.6,37.2,-2.6,30.5,1.5,0.3,0.06
Otto Porter Jr.,WAS,23,F,75,75,57.7,2.2,5.3,41.0,36.8,4.2,30.3,1.4,0.1,0.04
Jeremy Lin,CHA,27,G,78,77,57.9,2.0,5.3,37.2,36.9,0.3,26.3,0.7,0.3,0.14
Trevor Ariza,HOU,31,F,80,78,57.6,1.9,5.3,36.7,37.5,-0.8,35.3,2.0,0.1,0.05
Raymond Felton,DAL,32,G,80,79,60.9,1.8,5.2,35.0,37.4,-2.4,27.4,0.8,0.1,0.04
Jerami Grant,PHI,22,F,77,77,48.1,1.9,5.2,36.0,36.9,-0.9,26.8,0.7,0.6,0.25
JJ Redick,LAC,32,G,74,73,59.7,1.6,5.2,31.5,37.1,-5.6,28.0,0.6,0.0,0.08
Lou Williams,LAL,29,G,67,65,61.0,1.6,5.2,31.1,37.3,-6.2,28.5,0.9,0.1,0.01
Michael Kidd-Gilchrist,CHA,22,F,7,7,46.2,1.3,5.1,25.0,37.0,-12.0,29.3,0.4,0.0,0
Kent Bazemore,ATL,26,F-G,75,74,59.8,1.8,5.1,35.0,37.2,-2.2,27.8,1.3,0.2,0.15
Jose Calderon,NYK,34,G,72,71,52.3,1.8,5.1,34.5,36.5,-2.0,28.1,0.9,0.1,0.06
Klay Thompson,GSW,26,G,80,80,50.1,1.7,5.1,33.5,37.2,-3.7,33.3,0.8,0.4,0
Shelvin Mack,UTA,26,G,48,46,59.2,1.9,5.1,37.7,36.3,1.4,20.3,0.7,0.1,0.02
Rodney Hood,UTA,23,G,79,76,57.4,1.8,5.0,36.3,37.2,-0.8,32.2,0.9,0.0,0.06
Patrick Beverley,HOU,27,G,71,68,54.7,1.8,5.0,35.2,36.6,-1.4,28.7,1.3,0.2,0.04
DeAndre Jordan,LAC,27,C,77,75,34.0,1.8,5.0,35.8,38.2,-2.4,33.7,0.7,0.8,0.01
Matthew Dellavedova,CLE,25,G,76,76,57.5,1.7,5.0,33.8,36.6,-2.8,24.6,0.6,0.0,0.11
Jameer Nelson,DEN,34,G,39,39,62.6,1.9,5.0,38.3,36.7,1.6,26.6,0.6,0.1,0.15
Taj Gibson,CHI,31,F,73,72,46.8,1.9,5.0,37.3,37.5,-0.2,26.5,0.6,0.3,0.04
Kawhi Leonard,SAS,25,F,72,71,53.0,1.7,5.0,34.6,37.0,-2.4,33.1,1.8,0.4,0
Carmelo Anthony,NYK,32,F,71,70,59.0,1.6,5.0,32.9,36.5,-3.7,35.1,0.9,0.2,0.01
Jordan Farmar,MEM,29,G,12,12,63.2,1.9,5.0,38.3,37.7,0.7,24.2,1.2,0.0,0.08
Marvin Williams,CHA,30,F,81,80,47.2,1.9,5.0,38.9,37.1,1.8,28.9,0.7,0.2,0.01
Garrett Temple,WAS,30,G,79,76,59.4,2.1,5.0,41.5,37.5,4.0,24.4,0.9,0.1,0.07
Derrick Favors,UTA,24,F-C,62,59,36.0,2.1,5.0,42.2,37.6,4.6,32.0,1.2,0.4,0.02
Jerryd Bayless,MIL,27,G,52,52,59.6,1.8,5.0,35.3,36.3,-1.0,28.9,0.9,0.1,0.02
Anthony Brown,LAL,23,F,27,26,57.8,1.7,5.0,34.3,37.7,-3.3,20.7,0.5,0.1,0
Derrick Rose,CHI,27,G,66,65,50.8,1.9,5.0,37.3,37.1,0.2,31.8,0.7,0.1,0.11
Steven Adams,OKC,22,C,80,80,37.3,1.6,4.9,33.5,37.9,-4.4,25.2,0.5,0.5,0
Jordan Hamilton,NOP,25,G-F,11,11,47.8,1.6,4.9,33.3,36.0,-2.7,27.6,0.7,0.1,0
