Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Nikola Jokic,DEN,23,C,75,75,51.3,5.8,9.7,60.4,57.8,2.6,32.6,0.5
DeMarcus Cousins,NOP,27,C,48,48,49.6,5.0,9.7,51.5,57.3,-5.8,36.2,1.1
Myles Turner,IND,22,C,65,65,60.9,4.9,9.7,50.9,57.2,-6.3,28.2,1.3
Rudy Gobert,UTA,26,C,55,54,46.7,4.4,9.3,47.6,57.5,-9.8,32.4,1.2
Jeremy Lin,BKN,29,G,1,1,69.2,8.0,9.0,88.9,57.3,31.6,NaN,NaN
Nikola Vucevic,ORL,27,C,56,56,52.2,4.9,8.9,54.8,57.2,-2.4,29.5,0.6
Karl-Anthony Towns,MIN,22,C,82,82,49.1,5.0,8.8,57.3,57.8,-0.6,35.6,0.7
Clint Capela,HOU,24,C,73,73,53.9,4.9,8.8,55.6,57.0,-1.4,27.5,1.3
Andre Drummond,DET,24,C,78,78,55.7,5.0,8.8,56.6,58.0,-1.3,33.7,0.8
Steven Adams,OKC,24,C,75,75,50.0,4.7,8.7,54.2,57.7,-3.5,32.7,0.7
Joel Embiid,PHI,24,C,62,62,46.1,4.0,8.4,48.1,57.2,-9.1,30.3,0.9
Jusuf Nurkic,POR,23,C,79,79,48.9,4.1,8.0,51.4,57.8,-6.4,26.4,1.0
Anthony Davis,NOP,25,F-C,75,75,43.7,3.9,8.0,48.8,57.2,-8.4,36.4,1.2
Al Horford,BOS,32,F-C,69,69,46.3,3.9,8.0,49.1,57.0,-8.0,31.6,0.8
Paul Millsap,DEN,33,F,38,38,51.4,3.9,7.6,51.0,57.6,-6.5,30.1,0.7
John Henson,MIL,27,C,75,75,55.2,4.2,7.5,55.8,57.0,-1.2,25.9,0.8
Enes Freedom,NYK,26,C,70,70,53.0,3.9,7.5,52.5,57.4,-4.9,NaN,NaN
Jonas Valanciunas,TOR,26,C,77,77,50.6,3.6,7.4,48.8,57.2,-8.5,22.4,0.5
Kristaps Porzingis,NYK,22,F-C,47,47,45.6,3.5,7.4,48.3,57.2,-8.9,32.4,1.6
Marc Gasol,MEM,33,C,73,73,48.1,3.8,7.3,52.0,58.0,-6.0,33.0,0.9
Robin Lopez,CHI,30,C,64,64,48.3,4.0,7.3,54.4,57.5,-3.1,26.4,0.7
Hassan Whiteside,MIA,29,C,54,54,52.8,3.6,7.3,50.1,58.6,-8.5,25.3,1.0
Marcin Gortat,WAS,34,C,82,82,53.6,4.0,7.3,55.0,57.6,-2.5,25.3,0.5
