Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Rudy Gobert,UTA,29,C,71,71,100,9.2,22.3,41.3,49.3,-7.9,30.8,0.6,1.2,0.06
Brook Lopez,MIL,33,C,69,69,100,9.0,19.8,45.2,48.9,-3.6,27.2,0.6,0.7,0
Domantas Sabonis,IND,25,F-C,61,61,100,8.5,18.1,47.1,48.8,-1.7,36.0,1.2,0.1,0.02
Nikola Jokic,DEN,26,C,71,71,100,8.8,18.0,49.0,49.2,-0.2,34.6,1.3,0.3,0
Myles Turner,IND,25,C-F,46,46,100,8.1,17.9,45.2,49.3,-4.1,31.0,0.9,0.9,0
Christian Wood,HOU,25,F,41,41,100,8.0,17.5,45.8,47.6,-1.8,32.3,0.8,0.5,0.02
Joel Embiid,PHI,27,C-F,51,51,100,8.2,17.4,47.2,49.5,-2.3,31.1,1.0,0.4,0.08
Jakob Poeltl,SAS,25,C,69,69,100,7.8,17.3,44.9,48.6,-3.7,26.7,0.7,0.5,0.03
Deandre Ayton,PHX,22,C,67,67,100,8.0,17.1,46.6,48.3,-1.8,30.7,0.6,0.5,0
Nikola Vucevic,CHI,30,C,69,69,100,8.6,17.1,50.4,49.2,1.2,33.5,0.9,0.4,0.01
Jonas Valanciunas,MEM,29,C,62,62,100,8.3,16.8,49.5,48.9,0.6,28.3,0.6,0.3,0.02
Kristaps Porzingis,DAL,25,F-C,43,43,100,8.0,16.6,48.2,48.4,-0.2,30.9,0.5,0.5,0.02
Karl-Anthony Towns,MIN,25,C-F,50,50,100,8.1,16.5,49.0,49.5,-0.5,33.8,0.8,0.6,0.06
Thomas Bryant,WAS,23,C-F,10,10,100,7.1,15.9,44.7,48.9,-4.3,27.1,0.4,0.7,0
Pascal Siakam,TOR,27,F,56,56,100,7.8,15.6,49.6,47.0,2.6,35.8,1.1,0.3,0.05
Clint Capela,ATL,27,C,63,63,100,7.2,15.3,47.0,49.8,-2.7,30.1,0.7,0.6,0.02
Al Horford,OKC,35,C-F,27,27,100,7.7,15.1,50.9,48.9,2.0,27.9,0.9,0.5,0
Enes Freedom,POR,29,C,69,69,100,7.6,15.0,50.8,49.4,1.4,NaN,NaN,NaN,NaN
Darius Bazley,OKC,21,F-G,54,54,100,6.8,15.0,45.6,47.1,-1.6,31.2,0.5,0.2,0
Kelly Olynyk,HOU,30,F-C,70,70,100,7.5,15.0,50.2,47.8,2.5,28.5,1.1,0.2,0.21
Jarrett Allen,CLE,23,C,63,63,100,7.0,15.0,46.4,49.3,-2.9,29.6,0.5,0.2,0.02
Andrew Wiggins,GSW,26,F,70,70,100,6.6,14.9,44.3,46.6,-2.4,33.3,0.9,0.7,0
Richaun Holmes,SAC,27,F,60,60,100,6.9,14.9,46.1,49.1,-3.0,29.2,0.6,0.5,0.02
Draymond Green,GSW,31,F,62,62,100,6.6,14.8,44.7,48.1,-3.4,31.5,1.7,0.4,0.27
Julius Randle,NYK,26,F-C,70,70,100,6.5,14.7,44.2,47.8,-3.6,37.6,0.9,0.1,0.03
Mason Plumlee,DET,31,F-C,56,56,100,8.0,14.7,54.4,50.6,3.9,26.8,0.8,0.4,0.07
Robert Covington,POR,30,F,67,67,100,7.2,14.7,49.2,47.6,1.6,32.0,1.4,0.4,0.07
LaMarcus Aldridge,BKN,35,C-F,26,26,100,6.9,14.7,46.9,47.7,-0.8,25.9,0.4,0.5,0
Shai Gilgeous-Alexander,OKC,22,G-F,34,34,100,7.0,14.7,47.9,45.9,2.0,33.7,0.8,0.3,0
De'Aaron Fox,SAC,23,G,56,56,100,7.1,14.7,48.2,45.9,2.2,35.1,1.5,0.3,0.12
P.J. Washington,CHA,22,F,63,63,100,7.4,14.6,50.5,47.9,2.6,30.5,1.1,0.5,0.02
Ivica Zubac,LAC,24,C,71,71,100,6.5,14.5,44.6,49.6,-5.0,22.3,0.3,0.3,0
