Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Joel Embiid,PHI,29,61,34.7,33.3,11.0,20.2,54.5,1.0,3.0,34.1,10.2,11.9,85.6,1.8,8.4,10.2,4.2,3.5,1.1,1.7,3.1,6.9
Luka Doncic,DAL,24,59,36.4,32.9,11.1,22.2,49.9,2.7,8.0,34.3,8.1,11.0,73.5,0.8,7.8,8.6,8.2,3.7,1.4,0.5,2.6,2.2
Damian Lillard,POR,32,58,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4.0,4.8,7.3,3.3,0.9,0.3,1.9,1.8
Shai Gilgeous-Alexander,OKC,24,63,35.5,31.3,10.4,20.4,51.0,0.9,2.5,35.3,9.6,10.7,90.5,0.9,4.0,4.8,5.5,2.9,1.7,1.0,2.7,2.4
Giannis Antetokounmpo,MIL,28,59,32.2,31.1,11.2,20.3,55.0,0.8,2.8,28.5,7.9,12.3,64.7,2.2,9.5,11.7,5.6,3.9,0.8,0.8,3.2,5.3
Jayson Tatum,BOS,25,69,37.3,30.1,9.8,21.3,46.0,3.2,9.4,34.4,7.2,8.5,85.3,1.1,7.8,8.9,4.7,3.0,1.0,0.7,2.1,6.2
Stephen Curry,GSW,35,49,34.8,29.6,10.0,20.0,49.9,4.9,11.3,42.8,4.7,5.2,91.3,0.7,5.5,6.2,6.3,3.3,0.9,0.3,2.2,3.9
LeBron James,LAL,38,47,36.1,29.5,11.3,22.6,50.1,2.1,6.9,30.8,4.8,6.3,75.9,1.2,7.2,8.4,6.9,3.1,0.9,0.6,1.7,3.1
Kevin Durant,PHX,34,42,35.7,29.5,10.5,18.5,56.6,1.9,4.8,38.6,6.7,7.2,93.1,0.4,6.4,6.8,5.2,3.4,0.8,1.5,2.3,5.6
Devin Booker,PHX,26,47,34.5,28.2,10.3,20.5,50.2,2.2,5.9,36.8,5.5,6.5,84.6,0.9,3.7,4.6,5.4,2.7,0.9,0.4,3.0,4.1
Donovan Mitchell,CLE,26,63,35.5,27.5,9.7,20.3,47.7,3.5,9.3,37.8,4.6,5.3,86.7,1.0,3.2,4.2,4.5,2.6,1.5,0.4,2.4,4.6
Kyrie Irving,DAL,31,54,37.1,27.2,9.9,20.2,49.0,3.2,8.5,37.7,4.2,4.6,89.6,1.0,4.1,5.2,5.5,2.2,1.0,0.7,2.8,3.7
Ja Morant,MEM,23,55,32.1,26.7,9.5,20.3,46.6,1.6,5.0,31.5,6.2,8.4,74.6,1.1,4.8,5.9,8.1,3.3,1.1,0.3,1.7,5.5
Jaylen Brown,BOS,26,62,36.1,26.7,10.0,20.4,49.1,2.5,7.3,34.6,4.1,5.4,77.2,1.2,5.6,6.9,3.4,2.9,1.1,0.4,2.7,3.6
Trae Young,ATL,24,67,34.5,26.6,8.4,19.4,43.4,2.2,6.4,34.0,7.6,8.6,88.7,0.8,2.3,3.1,10.0,4.1,1.1,0.1,1.5,1.7
Anthony Davis,LAL,30,48,33.8,26.1,9.8,17.3,56.3,0.4,1.4,26.1,6.2,7.9,79.0,3.4,9.1,12.5,2.5,2.3,1.0,2.0,2.7,2.8
Zion Williamson,NOP,22,29,33.0,26.0,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2.0,5.0,7.0,4.6,3.4,1.1,0.6,2.2,5.1
Lauri Markkanen,UTA,25,64,34.4,25.7,8.7,17.2,50.6,3.1,7.7,40.0,5.2,6.0,87.1,2.0,6.7,8.6,1.9,1.9,0.6,0.6,2.1,2.4
Julius Randle,NYK,28,75,35.9,25.4,8.6,18.8,46.0,2.9,8.3,34.3,5.3,7.0,75.7,1.9,8.3,10.1,4.2,2.8,0.6,0.3,3.1,2.2
De'Aaron Fox,SAC,25,66,33.8,25.3,9.4,18.2,51.6,1.7,5.0,33.8,4.8,6.2,77.1,0.5,3.7,4.2,6.1,2.6,1.2,0.3,2.5,1.6
DeMar DeRozan,CHI,33,66,36.5,25.1,9.0,17.8,50.9,0.6,1.8,33.1,6.4,7.4,87.1,0.5,4.2,4.7,5.0,2.1,1.1,0.5,2.6,1.3
